year,week,team,temperature
2014,Week 9,Texans,71
2014,Week 9,Rams,64
2014,Week 9,49ers,64
2014,Week 9,Broncos,41
2014,Week 9,Patriots,41
2014,Week 9,Raiders,56
2014,Week 9,Seahawks,56
2014,Week 9,Ravens,37
2014,Week 9,Steelers,37
2014,Week 9,Colts,53
2014,Week 9,Giants,53
2014,Week 10,Browns,43
2014,Week 10,Bengals,43
2014,Week 10,Chiefs,41
2014,Week 10,Bills,41
2014,Week 10,Dolphins,45
2014,Week 10,Lions,45
2014,Week 10,49ers,66
2014,Week 10,Saints,66
2014,Week 10,Steelers,57
2014,Week 10,Jets,57
2014,Week 10,Falcons,66
2014,Week 10,Buccaneers,66
2014,Week 10,Cowboys,°F
2014,Week 10,Jaguars,°F
2014,Week 10,Titans,57
2014,Week 10,Ravens,57
2014,Week 10,Broncos,69
2014,Week 10,Raiders,69
2014,Week 10,Rams,84
2014,Week 10,Cardinals,84
2014,Week 10,Giants,56
2014,Week 10,Seahawks,56
2014,Week 10,Bears,32
2014,Week 10,Packers,32
2014,Week 10,Panthers,49
2014,Week 10,Eagles,49
2014,Week 11,Bills,71
2014,Week 11,Dolphins,71
2014,Week 11,Vikings,32
2014,Week 11,Bears,32
2014,Week 11,Texans,34
2014,Week 11,Browns,34
2014,Week 11,Eagles,27
2014,Week 11,Packers,27
2014,Week 11,Seahawks,21
2014,Week 11,Chiefs,21
2014,Week 11,Broncos,33
2014,Week 11,Rams,33
2014,Week 11,Bengals,77
2014,Week 11,Saints,77
2014,Week 11,49ers,43
2014,Week 11,Giants,43
2014,Week 11,Buccaneers,46
2014,Week 11,Washington,46
2014,Week 11,Falcons,52
2014,Week 11,Panthers,52
2014,Week 11,Raiders,71
2014,Week 11,Chargers,71
2014,Week 11,Lions,70
2014,Week 11,Cardinals,70
2014,Week 11,Patriots,29
2014,Week 11,Colts,29
2014,Week 11,Steelers,25
2014,Week 11,Titans,25
2014,Week 12,Chiefs,55
2014,Week 12,Raiders,55
2014,Week 12,Browns,52
2014,Week 12,Falcons,52
2014,Week 12,Buccaneers,53
2014,Week 12,Bears,53
2014,Week 12,Jaguars,51
2014,Week 12,Colts,51
2014,Week 12,Packers,46
2014,Week 12,Vikings,46
2014,Week 12,Lions,61
2014,Week 12,Patriots,61
2014,Week 12,Titans,53
2014,Week 12,Eagles,53
2014,Week 12,Bengals,76
2014,Week 12,Texans,76
2014,Week 12,Rams,72
2014,Week 12,Chargers,72
2014,Week 12,Cardinals,57
2014,Week 12,Seahawks,57
2014,Week 12,Dolphins,36
2014,Week 12,Broncos,36
2014,Week 12,Washington,63
2014,Week 12,49ers,63
2014,Week 12,Cowboys,48
2014,Week 12,Giants,48
2014,Week 12,Jets,40
2014,Week 12,Bills,40
2014,Week 12,Ravens,58
2014,Week 12,Saints,58
2014,Week 13,Bears,36
2014,Week 13,Lions,36
2014,Week 13,Eagles,57
2014,Week 13,Cowboys,57
2014,Week 13,Seahawks,58
2014,Week 13,49ers,58
2014,Week 13,Browns,57
2014,Week 13,Bills,57
2014,Week 13,Washington,63
2014,Week 13,Colts,63
2014,Week 13,Raiders,70
2014,Week 13,Rams,70
2014,Week 13,Panthers,15
2014,Week 13,Vikings,15
2014,Week 13,Saints,61
2014,Week 13,Steelers,61
2014,Week 13,Bengals,76
2014,Week 13,Buccaneers,76
2014,Week 13,Giants,72
2014,Week 13,Jaguars,72
2014,Week 13,Chargers,58
2014,Week 13,Ravens,58
2014,Week 13,Titans,78
2014,Week 13,Texans,78
2014,Week 13,Cardinals,60
2014,Week 13,Falcons,60
2014,Week 13,Patriots,23
2014,Week 13,Packers,23
2014,Week 13,Broncos,25
2014,Week 13,Chiefs,25
2014,Week 13,Dolphins,43
2014,Week 13,Jets,43
2014,Week 14,Cowboys,34
2014,Week 14,Bears,34
2014,Week 14,Steelers,42
2014,Week 14,Bengals,42
2014,Week 14,Colts,38
2014,Week 14,Browns,38
2014,Week 14,Buccaneers,34
2014,Week 14,Lions,34
2014,Week 14,Giants,47
2014,Week 14,Titans,47
2014,Week 14,Ravens,77
2014,Week 14,Dolphins,77
2014,Week 14,Jets,34
2014,Week 14,Vikings,34
2014,Week 14,Panthers,55
2014,Week 14,Saints,55
2014,Week 14,Rams,46
2014,Week 14,Washington,46
2014,Week 14,Texans,58
2014,Week 14,Jaguars,58
2014,Week 14,Bills,55
2014,Week 14,Broncos,55
2014,Week 14,Chiefs,75
2014,Week 14,Cardinals,75
2014,Week 14,49ers,61
2014,Week 14,Raiders,61
2014,Week 14,Seahawks,39
2014,Week 14,Eagles,39
2014,Week 14,Patriots,64
2014,Week 14,Chargers,64
2014,Week 14,Falcons,32
2014,Week 14,Packers,32
2014,Week 15,Cardinals,30
2014,Week 15,Rams,30
2014,Week 15,Steelers,54
2014,Week 15,Falcons,54
2014,Week 15,Packers,34
2014,Week 15,Bills,34
